bigram,count
"correlates,with",1
"disease,of",1
"infection,is",2
"15%,in",1
"and,there",1
"and,cerebrum",1
"the,2001",1
"protective,immunity",2
"PBLs,from",1
"may,have",1
"the,ICMJE",1
